fetch_date,uid,username,rank,guard_level,accompany,face,medal_name,medal_level,ruid
2026-01-26,296207,ACJouun,128,3,1892,https://i2.hdslb.com/bfs/face/6590718668368b3abcdccb8fd8e6bd56657d1941.jpg,帅Pi,35,13046
2026-01-26,291647,咖喱大柿子,129,3,1402,https://i2.hdslb.com/bfs/face/bd44d3816ecee88f3ed7e9413c57c327669e3e09.jpg,帅Pi,35,13046
2026-01-26,2752015,章鱼太侠,130,3,1888,http://i1.hdslb.com/bfs/face/6ad69238c361109826b58da0cf03854d3efbd8ce.jpg,帅Pi,35,13046
2026-01-26,4620600,小5小5,131,3,1395,https://i0.hdslb.com/bfs/face/d1050e1d1bba66ce9177fb1b11152b16e572d7e1.jpg,帅Pi,35,13046
2026-01-26,3542494,琛_唁,132,3,1823,https://i1.hdslb.com/bfs/face/d77bad78904f4f5c7b09866d41734f5ea9242677.jpg,帅Pi,35,13046
2026-01-26,3024828,smpatw,133,3,1518,https://i0.hdslb.com/bfs/face/29934a892f22d8f6fc0075695edec224e188773c.jpg,帅Pi,35,13046
2026-01-26,550413,雾雨仕,134,3,1309,https://i0.hdslb.com/bfs/face/50e8f975212e2d9dc1f61f304962f3f456655b91.jpg,帅Pi,35,13046
2026-01-26,539435,糯米晨音,135,3,1386,https://i2.hdslb.com/bfs/face/1e9f9e7d2933b9acf282f89ea1805fb699ec1cf9.jpg,帅Pi,35,13046
2026-01-26,3009819,slmemeda,136,3,1811,https://i0.hdslb.com/bfs/face/member/noface.jpg,帅Pi,35,13046
2026-01-26,4342912,♂响希,137,3,1336,https://i1.hdslb.com/bfs/face/b8c6cadc21ad7b16469f610b6643c47f5c1bc890.jpg,帅Pi,35,13046
2026-01-26,7998903,花雯,138,3,1885,https://i0.hdslb.com/bfs/face/26180d894d2f8d1c5893ebaff40f04122f4cff25.jpg,帅Pi,35,13046
2026-01-26,3916912,拾暮年华,139,3,1301,https://i1.hdslb.com/bfs/face/89ad834ceb023fa68d6279b81408c83a9951acc0.jpg,帅Pi,35,13046
2026-01-26,14660688,峥崾今天也摸鱼了,140,3,1329,https://i0.hdslb.com/bfs/face/e28f202ed6a53e4c8d14ac81b4971d85c9801683.jpg,帅Pi,35,13046
2026-01-26,760520,长明怀弈,141,3,1394,https://i2.hdslb.com/bfs/face/72c093f40eb11ec65629f1b44889c3ac240c856d.jpg,帅Pi,35,13046
2026-01-26,324647,琴美的书,142,3,1683,http://i2.hdslb.com/bfs/face/ff0a9520dd99e78e4e133cccb15da276c39b142f.jpg,帅Pi,35,13046
2026-01-26,3493166,米君QAQ,143,3,1393,https://i2.hdslb.com/bfs/face/140c294a7b081f6f527563176025fbe01128fcf8.png,帅Pi,35,13046
2026-01-26,1756468,cigare26,144,3,1872,https://i0.hdslb.com/bfs/face/member/noface.jpg,帅Pi,35,13046
2026-01-26,74218096,只会咕的咕咕鸪,145,3,1887,http://i1.hdslb.com/bfs/face/7fba59e8365b87031224ca6bafa0cd8522b7714e.jpg,帅Pi,35,13046
2026-01-26,8499387,Ain半世流离,146,3,996,https://i0.hdslb.com/bfs/face/743d8c9a80187ea56e2801f20fbc2d9b1ed2cf59.jpg,帅Pi,35,13046
2026-01-26,905216,美味狐狸丸,147,3,1483,https://i2.hdslb.com/bfs/face/c63b8b9a2e913d8c675b6713ca185b5a2eeb2b29.jpg,帅Pi,35,13046
2026-01-26,39500,御坂10032号,148,3,1313,http://i2.hdslb.com/bfs/face/115b50143b7be33f4cb03d4b910f6bab5492f0a5.jpg,帅Pi,35,13046
2026-01-26,2060962,213哈士齐,149,3,1078,https://i1.hdslb.com/bfs/face/266471fc1723505a6ed851b001e58c4909657d42.jpg,帅Pi,35,13046
2026-01-26,3159136,淡蓝的五綫谱,150,3,1864,https://i1.hdslb.com/bfs/face/109d670ee2cf3ec866806c115f0a5cf57d6e7ce8.jpg,帅Pi,35,13046
2026-01-26,2843551,八土night,151,3,1216,https://i1.hdslb.com/bfs/face/f60e73658c27b7ebcc75e66d8680388810c73689.webp,帅Pi,35,13046
2026-01-26,7124091,拾零_iSAm1,152,3,1059,https://i0.hdslb.com/bfs/face/9f7cc29c33c7deebf618f25ea5d59611a40286ce.jpg,帅Pi,35,13046
2026-01-26,5531188,Nの珈琲,153,3,1269,https://i1.hdslb.com/bfs/face/287e0814ea392d4619117313c15b2a351ee28325.jpg,帅Pi,35,13046
